name,mbid
A$AP Rocky,25b7b584-d952-4662-a8b9-dd8cdfbfeb64
Chamillionaire,4fbc55bb-61be-4eb7-b4b4-c08c68b4e060
Dolly Parton,1d543e07-d0d2-4834-a8db-d65c50c2a856
Lloyd Banks,8a6ccf62-b8fa-46d7-87df-f2dd14e6280d
CeeLo Green,2c69465c-0f76-45ce-90a2-1ed0fdacc997
Curren$y,4ce1c576-305a-4b82-82fa-5e5359056219
Duke Ellington,3af06bc4-68ad-4cae-bb7a-7eeeb45e411f
Mobb Deep,d75d1f08-bbb8-4eae-9877-399ca9121197
De La Soul,a8ebde98-7e91-46c7-992c-90039ba42017
Waka Flocka Flame,59eda569-b380-4958-b98c-051d1667b3e1
Brandy,01e60eba-52df-4694-8f09-39f43abe54e9
Lloyd,e9296a90-9c59-4657-9165-1f1b5319de00
Talib Kweli,bb3cbea2-5ad4-4917-bc84-8a1975d40315
Aloe Blacc,4bf89e02-6c30-4603-9f6a-52619b1bea1a
Ashanti,a47ed6d5-480e-428c-8ce9-d7a6a571e857
Bone Thugs‚Äên‚ÄêHarmony,2fa45bbb-0efb-4950-9d40-94bf23cbfec1
Bow Wow,6fd44ae7-097d-4979-94ba-5dfc40d9f7ad
Miguel,285e1285-aecc-478f-a8da-0c8cf69e1217
Cam‚Äôron,ea6b7199-901d-4c0e-8242-6d7bc2bf62b7
Jamie Foxx,15a5da16-8b89-4047-aefe-81473c97b5b2
Method Man,94dbfe2e-ca48-4e08-a5a8-e1e74136c63d
Ja Rule,b504f625-4ef6-4a5a-81e8-870a61e8dc9c
Plies,72f62a4c-0042-49f6-b4dc-2f5b27dd289f
Twista,0bc858a1-3573-4216-9423-c96dd8c72919
LL Cool J,a4dd0e77-83b8-4e92-89b7-effb0e47fd8c
Fat Joe,a6a4c910-2b22-4a6f-aebe-805b176c47b8
Daddy Yankee,2f522f5c-111c-4ce8-8bd0-d82e97c227ad
Three 6 Mafia,a8754ac4-a85e-4f48-a81f-eecd482570ef
Kid Rock,ad0ecd8b-805e-406e-82cb-5b00c3a3a29e
Jackson Browne,88527d26-7496-47c5-8358-ebdb1868a90f
Ace Hood,986ee464-cf8a-4e59-a71f-74756102067f
The‚ÄêDream,66a4b9d2-d5a6-40b8-93d5-0bdd1dbb4b43
Tech N9ne,dde3d9b1-0e44-48bc-b0c9-d739b3570000
Keyshia Cole,ef73e6ed-9096-4ddb-9799-b94874d0ce33
Future,48262e82-db9f-4a92-b650-dfef979b73ec
Wyclef Jean,4f29ecd7-21a5-4c03-b9ba-d0cfe9488f8c
Yo Gotti,b02ec63e-e78d-43e5-a594-462e95036e8d
Juelz Santana,bea235a0-db63-44b1-881e-264d25791f5a
Young Buck,5719f1bd-ee0e-4454-b402-8e51ba9613fe
2 Chainz,dff0d392-4cd5-4052-9fbb-f485df3891e5
Meek Mill,31bcadcc-e1da-4cad-bec8-2f4f1d41b095
Steve Aoki,a39acc4a-985e-4173-a9ed-f325f2d3bc1c
Yung Joc,1f83258f-ee16-4f3b-8570-e9ef3ad6973e
Ghostface Killah,3b39abeb-0064-4eed-9ddd-ee47a45c54cb
French Montana,45dc5f07-6609-4760-a933-8c9e0f858d05
Clipse,e6424fa5-08d3-41c6-96f3-8549f733708c
Jerry Lee Lewis,b59ac58d-036e-4bba-8112-c32a34c4575b
Lil Jon,a95384b1-6aec-468c-ae0d-8c6daf87c4c2
Chaka Khan,900e9144-019d-4043-86cb-ec0e127c39d0
ScHoolboy Q,bce6d667-cde8-485e-b078-c0a05adea36d
Jadakiss,83735edd-f2a3-41d0-a31d-652bc3cadb3e
Raekwon,4e954b02-fae2-4bd7-9547-e055a6ac0527
Pusha T,14ecd19f-7121-4192-8549-e5056241a42f
Ol‚Ä?Dirty Bastard,d50548a0-3cfd-4d7a-964b-0aef6545d819
J Dilla,cbcbb22c-3a8d-46af-b4ba-09c98f0d7931
Jim Jones,81148ae0-47e9-4830-ac97-8e69b6c71706
Prodigy,2996c6a2-215d-4f78-aed6-81a130b04816
Big Boi,9724aa19-fdf9-49d0-9f9d-944e462e2a5c
Juicy J,c45d161f-83ce-4464-ba41-44202e6916d9
G‚ÄêEazy,db48610c-6d8f-4d10-90ca-c4d14bb1a8b1
George Benson,467f69b6-8d6d-4d2c-bfad-e89adf2806ff
KRS‚ÄêOne,fc4568b6-cbe3-4a3d-8409-28510c19e3e2
Eve,1ac10f5e-2079-4435-b78f-dda6ecdeba15
M√Ωa,7c5e39c3-7645-4e37-968d-a4e45cd38c5d
Gloria Estefan,becd8cc6-a453-4183-af88-dedaaec859a6
Bun B,c1f5d7c6-1bce-45f1-bb80-f9c74bb9c740
Quincy Jones,5803c81e-739a-4057-9a5c-cf84e55db630
Big K.R.I.T.,7e966957-9b0b-4e19-b8a0-4206535d8052
Kid Ink,60614320-9caf-4ae4-bded-7140672fdf8a
Joe Budden,02e81a75-461f-4b9d-b635-9cc916cef9c0
Redman,1f1f6737-b930-46fc-8d25-110bb99f7490
Faith Evans,ebcd0bad-75ef-4203-b7b3-7af38a9ef198
Big Pun,609e7afd-3552-4102-9501-7611858ea320
Ray J,9a07de5c-37e5-4907-ac77-ba9674a9bd6a
Cassidy,32090ac9-6e46-47c5-b9ce-69c504a4a7bc
Juvenile,ba9afaf0-ef3a-42a6-afe0-f924193629bb
Shawty Lo,4b2c4580-7e17-4277-8b20-5246f5f37b61
Lil‚Ä?Kim,bc1b5c95-e6d6-46b5-957a-5e8908b02c1e
Dizzy Gillespie,e9ba8ccb-505f-4e5c-b909-65998d0d35b5
Anthony Hamilton,af7f5e8e-ac05-4d55-b860-a4dc72c78e66
Alison Krauss,6b064ead-91a4-4ac8-8076-b1febe4f4aac
Bonnie Raitt,0f0da09c-3940-4cb5-879f-4cea28907810
Martina McBride,b0a55bd8-60c7-45c1-b78e-f20e4c8adba1
Young Dro,b76f6f2b-87f1-466f-8a96-9443cf5ae07f
Yelawolf,13513a8a-e9a8-4367-b9e4-410fef5bed3a
Jae Millz,5ff6314c-5e85-48c8-8083-6572dc8e9b66
Travis Scott,e4a51f17-a57b-47b1-b37b-f552d0f8e9e6
Emmylou Harris,35ef61ca-43db-4772-ba27-0489e9ebcb69
Logic,713e751f-3ddb-4b77-b3b1-9e6f2e953ad5
David Banner,c0cc5d77-937d-4296-a349-0a09d733fbfb
Danny Brown,960afc67-9c21-46dd-9c7f-ff2b509e3150
Boosie Badazz,8ba17cf6-bec2-4ae4-9820-b1cda47adc08
Lucinda Williams,21685b15-3074-446e-aa1d-ff7157014f53
YG,6b1cf581-17a9-42c3-927b-d1e2797b1695
Dr. John,fe0e1895-aa84-47d9-8e5b-7930fc20709b
Trick Daddy,8efb78e6-9401-4f54-902b-57e9c3b54e64
